VehNum,VIN,Time,KM,TimeRepair,KMRepair,FrontTyreStart,RearTyreStart,BrakeLiningStart,EngineGotHot
1,408254999,2012-01-01,7332.03,2012-01-01,7355.45,0,0,0,1
1,408254999,2012-01-01,7366.07,2012-01-01,7374.14,0,0,0,1
1,408254999,2012-01-03,7402.34,2012-01-04,7408.88,0,0,0,1
1,408254999,2012-01-04,7419.22,2012-01-04,7426.83,0,0,0,1
1,408254999,2012-01-04,7441.62,2012-01-04,7447.34,0,0,0,1
1,408254999,2012-01-04,7467.37,2012-01-04,7474.6,0,0,0,1
1,408254999,2012-01-05,7481.32,2012-01-05,7487.25,0,0,0,1
1,408254999,2012-01-06,7499.89,2012-01-06,7505.53,0,0,0,1
1,408254999,2012-01-07,7528.75,2012-01-07,7536.79,0,0,0,1
1,408254999,2012-01-08,7566.74,2012-01-08,7572.6,0,0,0,1
1,408254999,2012-01-09,7605.42,2012-01-09,7612.59,0,0,0,1
1,408254999,2012-01-09,7621.39,2012-01-09,7629.52,0,0,0,1
1,408254999,2012-01-09,7654.97,2012-01-09,7663.1,0,0,0,1
1,408254999,2012-01-10,7686.36,2012-01-10,7699.22,0,0,0,1
1,408254999,2012-01-11,7804.15,2012-01-11,7817.81,0,0,0,1
1,408254999,2012-01-12,7903.66,2012-01-12,7914.07,0,0,0,1
1,408254999,2012-01-13,7949.54,2012-01-13,7963.33,0,0,0,1
1,408254999,2012-01-14,8045.92,2012-01-14,8052.36,0,0,0,1
1,408254999,2012-01-16,8083.97,2012-01-16,8090.62,0,0,0,1
1,408254999,2012-01-16,8120.2,2012-01-16,8128.39,0,0,0,1
1,408254999,2012-01-16,8172.88,2012-01-16,8178.55,0,0,0,1
1,408254999,2012-01-17,8213.42,2012-01-17,8226.57,0,0,0,1
1,408254999,2012-01-17,8283.56,2012-01-17,8295.12,0,0,0,1
1,408254999,2012-01-17,8380.31,2012-01-17,8394.92,0,0,0,1
1,408254999,2012-01-17,8406.75,2012-01-17,8417.59,0,0,0,1
1,408254999,2012-01-18,8425.46,2012-01-18,8439.93,0,0,0,1
1,408254999,2012-01-18,8484.94,2012-01-18,8499.2,0,0,0,1
1,408254999,2012-01-20,8541.78,2012-01-21,8555.79,0,0,0,1
1,408254999,2012-01-21,8594.17,2012-01-21,8615.38,0,0,0,1
1,408254999,2012-01-22,8663.67,2012-01-22,8686.65,0,0,0,1
1,408254999,2012-01-25,8798.97,2012-01-25,8822.89,0,0,0,1
1,408254999,2012-01-27,9000.16,2012-01-27,9023.68,0,0,0,1
1,408254999,2012-01-29,9102.49,2012-01-30,9125.86,0,0,0,1
1,408254999,2012-02-01,9193.44,2012-02-01,9216.72,0,0,0,1
1,408254999,2012-02-03,9232.02,2012-02-03,9255.72,0,0,0,1
1,408254999,2012-02-05,9316.03,2012-02-05,9339.35,0,0,0,1
1,408254999,2012-02-08,9406.12,2012-02-09,9429.61,0,0,0,1
1,408254999,2012-02-11,9456.99,2012-02-11,9471.07,0,0,0,1
1,408254999,2012-02-11,9545.34,2012-02-11,9558.39,0,0,0,1
1,408254999,2012-02-12,9613.84,2012-02-12,9627.97,0,0,0,1
1,408254999,2012-02-13,9681.85,2012-02-14,9696.26,0,0,0,1
1,408254999,2012-02-15,9884.27,2012-02-15,9907.92,0,0,0,1
1,408254999,2012-02-17,10041.15,2012-02-17,10063.63,0,0,0,1
1,408254999,2012-02-19,10119.23,2012-02-19,10142.06,0,0,0,1
1,408254999,2012-02-21,10333.51,2012-02-21,10358.28,0,0,0,1
1,408254999,2012-02-23,10464.35,2012-02-23,10489.25,0,0,0,1
1,408254999,2012-02-25,10600.86,2012-02-25,10605.68,0,0,0,1
1,408254999,2012-02-25,10636.32,2012-02-25,10644.25,0,0,0,1
1,408254999,2012-02-26,10669.19,2012-02-27,10676.79,0,0,0,1
1,408254999,2012-02-27,10688.94,2012-02-27,10696.64,0,0,0,1
1,408254999,2012-02-27,10716.41,2012-02-28,10722.94,0,0,0,1
1,408254999,2012-02-28,10758.02,2012-02-28,10766.08,0,0,0,1
1,408254999,2012-02-28,10794.15,2012-02-28,10801.16,0,0,0,1
1,408254999,2012-02-28,10808.53,2012-02-28,10815.38,0,0,0,1
1,408254999,2012-02-28,10842.37,2012-02-28,10849.57,0,0,0,1
1,408254999,2012-03-01,10867,2012-03-01,10873.91,0,0,0,1
1,408254999,2012-03-01,10887.82,2012-03-01,10894.37,0,0,0,1
1,408254999,2012-03-01,10904.23,2012-03-01,10911.6,0,0,0,1
1,408254999,2012-03-01,10931.07,2012-03-01,10937.72,0,0,0,1
1,408254999,2012-03-01,10955.77,2012-03-01,10963.36,0,0,0,1
1,408254999,2012-03-01,10968.43,2012-03-01,10974,0,0,0,1
1,408254999,2012-03-03,11001.12,2012-03-03,11015.07,0,0,0,1
1,408254999,2012-03-03,11053.03,2012-03-03,11066.79,0,0,0,1
1,408254999,2012-03-03,11123.33,2012-03-04,11139.43,0,0,0,1
1,408254999,2012-03-05,11174.89,2012-03-05,11187.14,0,0,0,1
1,408254999,2012-03-05,11213.01,2012-03-05,11226.79,0,0,0,1
1,408254999,2012-03-07,11312.44,2012-03-07,11328.07,0,0,0,1
1,408254999,2012-03-08,11399.08,2012-03-08,11413.32,0,0,0,1
1,408254999,2012-03-08,11463.26,2012-03-08,11475.1,0,0,0,1
1,408254999,2012-03-09,11526.17,2012-03-09,11537.95,0,0,0,1
1,408254999,2012-03-10,11705.5,2012-03-10,11718.85,0,0,0,1
1,408254999,2012-03-11,11752.74,2012-03-13,11775.86,0,0,0,1
1,408254999,2012-03-13,11784.12,2012-03-13,11806.81,0,0,0,1
1,408254999,2012-03-15,11833.27,2012-03-16,11858.11,0,0,0,1
1,408254999,2012-03-18,11882.73,2012-03-18,11907.68,0,0,0,1
1,408254999,2012-03-20,11946.74,2012-03-22,11968.55,0,0,0,1
1,408254999,2012-03-22,11970.34,2012-03-22,11995.53,0,0,0,1
1,408254999,2012-03-24,12021.88,2012-03-24,12044.51,0,0,0,1
1,408254999,2012-03-27,12069.78,2012-03-27,12094.61,0,0,0,1
1,408254999,2012-03-29,12143.77,2012-03-29,12167.02,0,0,0,1
1,408254999,2012-04-01,12184.4,2012-04-01,12209.41,0,0,0,1
1,408254999,2012-04-04,12220.44,2012-04-04,12228.32,0,0,0,1
1,408254999,2012-04-04,12253.98,2012-04-04,12260.29,0,0,0,1
1,408254999,2012-04-04,12295.81,2012-04-04,12302.93,0,0,0,1
1,408254999,2012-04-04,12330.88,2012-04-04,12339.49,0,0,0,1
1,408254999,2012-04-05,12342.23,2012-04-05,12350.12,0,0,0,1
1,408254999,2012-04-06,12392.95,2012-04-06,12399.9,0,0,0,1
1,408254999,2012-04-06,12443.14,2012-04-06,12448.99,0,0,0,1
1,408254999,2012-04-06,12475.01,2012-04-06,12482.1,0,0,0,1
1,408254999,2012-04-06,12502.99,2012-04-06,12510.11,0,0,0,1
1,408254999,2012-04-07,12605.05,2012-04-07,12619.92,0,0,0,1
1,408254999,2012-04-08,12668.23,2012-04-08,12682.41,0,0,0,1
1,408254999,2012-04-10,12704.07,2012-04-10,12719.32,0,0,0,1
1,408254999,2012-04-11,12776.6,2012-04-11,12791.78,0,0,0,1
1,408254999,2012-04-11,12899.25,2012-04-11,12905.78,0,0,0,1
1,408254999,2012-04-11,12942.15,2012-04-11,12951.03,0,0,0,1
1,408254999,2012-04-12,12978.54,2012-04-12,12986.06,0,0,0,1
1,408254999,2012-04-13,13013,2012-04-13,13018.79,0,0,0,1
1,408254999,2012-04-13,13025.74,2012-04-13,13033.27,0,0,0,1
1,408254999,2012-04-13,13054.87,2012-04-13,13079.74,0,0,0,1
1,408254999,2012-04-15,13154.21,2012-04-15,13177.41,0,0,0,1
1,408254999,2012-04-18,13218.73,2012-04-18,13242.06,0,0,0,1
1,408254999,2012-04-21,13294.64,2012-04-21,13317.97,0,0,0,1
1,408254999,2012-04-23,13368.55,2012-04-23,13391.47,0,0,0,1
1,408254999,2012-04-25,13440.51,2012-04-25,13461.1,0,0,0,1
1,408254999,2012-04-27,13540.6,2012-04-29,13564.15,0,0,0,1
1,408254999,2012-04-29,13581.1,2012-04-29,13605.96,0,0,0,1
1,408254999,2012-05-02,13670.19,2012-05-02,13694.03,0,0,0,1
1,408254999,2012-05-04,13763.98,2012-05-04,13786.2,0,0,0,1
1,408254999,2012-05-06,13817.57,2012-05-06,13839.08,0,0,0,1
1,408254999,2012-05-08,13971.04,2012-05-08,13996.14,0,0,0,1
1,408254999,2012-05-11,14311.91,2012-05-11,14334.81,0,0,0,1
1,408254999,2012-05-13,14369.69,2012-05-13,14383.14,0,0,0,1
1,408254999,2012-05-15,14424.14,2012-05-15,14438.67,0,0,0,1
1,408254999,2012-05-16,14527.26,2012-05-16,14540.8,0,0,0,1
1,408254999,2012-05-17,14561.3,2012-05-17,14575.15,0,0,0,1
1,408254999,2012-05-17,14609.81,2012-05-17,14623.63,0,0,0,1
1,408254999,2012-05-19,14646.31,2012-05-19,14660.07,0,0,0,1
1,408254999,2012-05-20,14777.69,2012-05-20,14801.2,0,0,0,1
1,408254999,2012-05-20,14838,2012-05-20,14861.05,0,0,0,1
1,408254999,2012-05-23,15005.53,2012-05-23,15028.72,0,0,0,1
1,408254999,2012-05-23,15171.18,2012-05-23,15194.19,0,0,0,1
1,408254999,2012-05-25,15232.14,2012-05-25,15252.42,0,0,0,1
1,408254999,2012-05-25,15275.13,2012-05-25,15297.75,0,0,0,1
1,408254999,2012-05-27,15441.27,2012-05-27,15464.49,0,0,0,1
1,408254999,2012-05-28,15507.68,2012-05-29,15533.46,0,0,0,1
1,408254999,2012-05-31,15556.75,2012-05-31,15582.02,0,0,0,1
1,408254999,2012-05-31,15609.21,2012-06-01,15632.34,0,0,0,1
1,408254999,2012-06-03,15688.62,2012-06-03,15711.66,0,0,0,1
1,408254999,2012-06-03,15725,2012-06-03,15748.38,0,0,0,1
1,408254999,2012-06-05,15814.01,2012-06-05,15835.28,0,0,0,1
1,408254999,2012-06-05,15845.18,2012-06-05,15868.44,0,0,0,1
1,408254999,2012-06-08,15921.72,2012-06-08,15945.41,0,0,0,1
1,408254999,2012-06-10,16012.89,2012-06-10,16036.11,0,0,0,1
1,408254999,2012-06-12,16105.51,2012-06-12,16129.87,0,0,0,1
1,408254999,2012-06-14,16163.18,2012-06-14,16186.77,0,0,0,1
1,408254999,2012-06-17,16270.69,2012-06-18,16294.7,0,0,0,1
1,408254999,2012-06-20,16388.12,2012-06-20,16410.69,0,0,0,1
1,408254999,2012-06-22,16440.64,2012-06-23,16464,0,0,0,1
1,408254999,2012-06-25,16545.9,2012-06-25,16554.44,0,0,0,1
1,408254999,2012-06-25,16605.28,2012-06-25,16613.67,0,0,0,1
1,408254999,2012-06-25,16643.87,2012-06-25,16650.86,0,0,0,1
1,408254999,2012-06-25,16661.34,2012-06-25,16668.52,0,0,0,1
1,408254999,2012-06-27,16790.55,2012-06-27,16804.38,0,0,0,1
1,408254999,2012-06-27,16827.63,2012-06-27,16842.88,0,0,0,1
1,408254999,2012-06-27,16913.88,2012-06-27,16927.74,0,0,0,1
1,408254999,2012-06-27,16975.76,2012-06-27,16986.91,0,0,0,1
1,408254999,2012-06-28,17021.42,2012-06-28,17027.21,0,0,0,1
1,408254999,2012-06-29,17067.1,2012-06-29,17074.87,0,0,0,1
1,408254999,2012-06-29,17088.11,2012-06-29,17095.14,0,0,0,1
